# Generated: 2026-06-09T01:16:42+00:00 UTC
# Script:    parse_xy_coordinates.py
# Git:       f476b12 Add calcium-claims validation pipeline + XY ground-truth layer (DIRTY working tree)
# Python:    3.14.4
# Packages:  Pillow=12.0.0, PyPDF2=3.0.1, matplotlib=3.10.7, numpy=2.2.6, opencv-python=4.12.0.88, openpyxl=3.1.5, …
#
prefix,video_stem,side,landmark_raw,landmark_class,frame,x,y
WG70,WG70_C-oTHHT-pM-Zoom5.30,Left,Tail,tail,1,90.0,528.0
WG70,WG70_C-oTHHT-pM-Zoom5.30,Left,Head,head,1,1458.0,442.0
WG70,WG70_C-oTHHT-pM-Zoom5.30,Right,Head,head,1,1458.0,406.0
WG70,WG70_C-oTHHT-pM-Zoom5.30,Right,Tail,tail,1,2800.0,396.0
WG70,WG70_C-oTHHT-pM-Zoom5.30,Right,poke location,poke,22,1950.0,502.0
WG71,WG71_C-oTHHT-pM-Zoom5.60,Left,Tail,tail,1,159.0,477.0
WG71,WG71_C-oTHHT-pM-Zoom5.60,Left,Head,head,1,1446.0,474.0
WG71,WG71_C-oTHHT-pM-Zoom5.60,Right,Head,head,1,1452.0,435.0
WG71,WG71_C-oTHHT-pM-Zoom5.60,Right,Tail,tail,1,2832.0,387.0
WG71,WG71_C-oTHHT-pM-Zoom5.60,Right,poke location,poke,1,1857.0,552.0
WG71,WG71_C-oTHHT-pM-Zoom5.60,Left,local signal,local,108,867.0,585.0
WG72,WG72_C-oTHHT-pM-Zoom5.60,Left,Tail,tail,1,99.0,531.0
WG72,WG72_C-oTHHT-pM-Zoom5.60,Left,Head,head,1,1434.0,426.0
WG72,WG72_C-oTHHT-pM-Zoom5.60,Right,Head,head,1,1431.0,399.0
WG72,WG72_C-oTHHT-pM-Zoom5.60,Right,Tail,tail,1,2718.0,399.0
WG72,WG72_C-oTHHT-pM-Zoom5.60,Right,poke location,poke,1,1869.0,510.0
WG57,WG57_C-oHTTH-pT-Zoom5.60,Left,Head,head,1,206.0,418.0
WG57,WG57_C-oHTTH-pT-Zoom5.60,Left,Tail,tail,1,1542.0,366.0
WG57,WG57_C-oHTTH-pT-Zoom5.60,Right,Tail,tail,1,1440.0,364.0
WG57,WG57_C-oHTTH-pT-Zoom5.60,Right,Head,head,1,2780.0,338.0
WG57,WG57_C-oHTTH-pT-Zoom5.60,Left,poke location,poke,1,1234.0,520.0
WG58,WG58_C-oHTTH-pT-Zoom5.60,Left,Head,head,1,166.0,408.0
WG58,WG58_C-oHTTH-pT-Zoom5.60,Left,Tail,tail,1,1520.0,358.0
WG58,WG58_C-oHTTH-pT-Zoom5.60,Right,Tail,tail,1,1400.0,356.0
WG58,WG58_C-oHTTH-pT-Zoom5.60,Right,Head,head,1,2846.0,314.0
WG58,WG58_C-oHTTH-pT-Zoom5.60,Left,poke location,poke,1,1140.0,516.0
WG58,WG58_C-oHTTH-pT-Zoom5.60,single,CG response,cement_gland,,192.0,525.0
WG59,WG59_C-oHTTH-pT-Zoom5.60,Left,Head,head,1,192.0,330.0
WG59,WG59_C-oHTTH-pT-Zoom5.60,Left,Tail,tail,1,1468.0,324.0
WG59,WG59_C-oHTTH-pT-Zoom5.60,Right,Tail,tail,1,1346.0,314.0
WG59,WG59_C-oHTTH-pT-Zoom5.60,Right,Head,head,1,2624.0,314.0
WG59,WG59_C-oHTTH-pT-Zoom5.60,Left,poke location,poke,1,1174.0,462.0
WG59,WG59_C-oHTTH-pT-Zoom5.60,Right,local signal,local,147,1584.0,382.0
WG78,WG78_C-oHTTH-pT-Zoom5.60,Left,Head,head,1,165.0,420.0
WG78,WG78_C-oHTTH-pT-Zoom5.60,Left,Tail,tail,1,1554.0,402.0
WG78,WG78_C-oHTTH-pT-Zoom5.60,Right,Tail,tail,1,1464.0,432.0
WG78,WG78_C-oHTTH-pT-Zoom5.60,Right,Head,head,1,2856.0,348.0
WG78,WG78_C-oHTTH-pT-Zoom5.60,Left,poke location,poke,1,1116.0,492.0
WG78,WG78_C-oHTTH-pT-Zoom5.60,Left,Tail signal,tail_response,155,1467.0,450.0
WG30,WG30_C-oHTHT-pT-Zoom6.30,Left,Head,head,1,136.0,428.0
WG30,WG30_C-oHTHT-pT-Zoom6.30,Left,Tail,tail,1,1584.0,384.0
WG30,WG30_C-oHTHT-pT-Zoom6.30,Right,Head,head,1,1592.0,352.0
WG30,WG30_C-oHTHT-pT-Zoom6.30,Right,Tail,tail,1,2956.0,360.0
WG30,WG30_C-oHTHT-pT-Zoom6.30,Left,poke location,poke,1,1260.0,372.0
WG34,WG34_C-oHTHT-pT-Zoom5.70,Left,Head,head,1,132.0,488.0
WG34,WG34_C-oHTHT-pT-Zoom5.70,Left,Tail,tail,1,1500.0,420.0
WG34,WG34_C-oHTHT-pT-Zoom5.70,Right,Head,head,1,1480.0,452.0
WG34,WG34_C-oHTHT-pT-Zoom5.70,Right,Tail,tail,1,2844.0,352.0
